month_year,upi_volume_lakh,upi_value_crore,date,year,month_num,month_name,quarter,avg_txn_value_rs
Nov-2019,12187.70742,189229.0891084,2019-11-01,2019,11,November,Q4,1552.62
Dec-2019,13084.01713,202520.7585663,2019-12-01,2019,12,December,Q4,1547.85
Jan-2020,13050.19232,216242.974143,2020-01-01,2020,1,January,Q1,1657.01
Feb-2020,13256.93237,222516.95003,2020-02-01,2020,2,February,Q1,1678.5
Mar-2020,12468.4455,206462.3070262,2020-03-01,2020,3,March,Q1,1655.88
Apr-2020,9995.74376,151140.6642718,2020-04-01,2020,4,April,Q2,1512.05
May-2020,12344.97198,218391.5954934,2020-05-01,2020,5,May,Q2,1769.07
Jun-2020,13369.30941,261835.0009801,2020-06-01,2020,6,June,Q2,1958.48
Jul-2020,14973.54,290537.86,2020-07-01,2020,7,July,Q3,1940.34
Aug-2020,16188.28462,298307.60926612,2020-08-01,2020,8,August,Q3,1842.74
Sep-2020,18001.67,329031.84,2020-09-01,2020,9,September,Q3,1827.79
Oct-2020,20716.19,386106.7351691,2020-10-01,2020,10,October,Q4,1863.79
Nov-2020,22102.28383,390999.18529922,2020-11-01,2020,11,November,Q4,1769.04
Dec-2020,22341.58091,416176.22447486,2020-12-01,2020,12,December,Q4,1862.79
Jan-2021,23027.28,431181.9,2021-01-01,2021,1,January,Q1,1872.48
Feb-2021,22928.94,425062.76,2021-02-01,2021,2,February,Q1,1853.83
Mar-2021,27316.85,504886.45,2021-03-01,2021,3,March,Q1,1848.26
Apr-2021,26410.61,493663.68,2021-04-01,2021,4,April,Q2,1869.19
May-2021,25291.82,489105.61,2021-05-01,2021,5,May,Q2,1933.85
Jun-2021,28075.16,547373.16,2021-06-01,2021,6,June,Q2,1949.67
Jul-2021,32455.01925,605883.20220325,2021-07-01,2021,7,July,Q3,1866.84
Aug-2021,35555.45,639116.95,2021-08-01,2021,8,August,Q3,1797.52
Sep-2021,36558.17,654648.28,2021-09-01,2021,9,September,Q3,1790.7
Oct-2021,42184.32177,771406.98756834,2021-10-01,2021,10,October,Q4,1828.66
Nov-2021,41864.8,768436.0,2021-11-01,2021,11,November,Q4,1835.52
Dec-2021,45662.99,826848.23,2021-12-01,2021,12,December,Q4,1810.76
Jan-2022,46171.56,831993.09,2022-01-01,2022,1,January,Q1,1801.96
Feb-2022,45274.89,826843.02,2022-02-01,2022,2,February,Q1,1826.27
Mar-2022,54056.51,960581.67,2022-03-01,2022,3,March,Q1,1777.0
Apr-2022,55843.88,983573.45,2022-04-01,2022,4,April,Q2,1761.29
May-2022,59462.89,1040220.53,2022-05-01,2022,5,May,Q2,1749.36
Jun-2022,58629.08,1014412.62,2022-06-01,2022,6,June,Q2,1730.22
Jul-2022,62893.4,1063117.04,2022-07-01,2022,7,July,Q3,1690.35
Aug-2022,65819.06,1073162.17,2022-08-01,2022,8,August,Q3,1630.47
Sep-2022,67807.99775,1116438.08995362,2022-09-01,2022,9,September,Q3,1646.47
Oct-2022,73054.21,1211587.5,2022-10-01,2022,10,October,Q4,1658.48
Nov-2022,73094.4703,1190593.39340752,2022-11-01,2022,11,November,Q4,1628.84
Dec-2022,78288.95,1281970.86,2022-12-01,2022,12,December,Q4,1637.49
Jan-2023,80385.88,1299058.78,2023-01-01,2023,1,January,Q1,1616.03
Feb-2023,75347.57,1235846.58,2023-02-01,2023,2,February,Q1,1640.19
Mar-2023,86516.33764,1404950.5944224,2023-03-01,2023,3,March,Q1,1623.91
Apr-2023,88632.59542,1415504.71454413,2023-04-01,2023,4,April,Q2,1597.05
May-2023,94151.84588,1489145.4422149,2023-05-01,2023,5,May,Q2,1581.64
Jun-2023,93350.61489,1475464.26115634,2023-06-01,2023,6,June,Q2,1580.56
Jul-2023,99642.55681,1533536.44104629,2023-07-01,2023,7,July,Q3,1539.04
Aug-2023,105860.16335,1576536.53795982,2023-08-01,2023,8,August,Q3,1489.26
Sep-2023,105556.87,1579133.18,2023-09-01,2023,9,September,Q3,1496.0
Oct-2023,114087.9,1715768.34,2023-10-01,2023,10,October,Q4,1503.9
